Year;Rank;Country;Documents;Citable.documents;Citations;Self.Citations;Citations.per.Document;H.index
1996;108;Luxembourg;69;67;998;80;14,46;105
1996;109;Albania;66;66;704;91;10,67;43
1996;110;Bolivia;65;65;1187;125;18,26;78
1996;111;Qatar;63;62;412;13;6,54;70
1996;112;Burkina Faso;61;60;1120;189;18,36;77
1996;113;Guadeloupe;61;61;1328;93;21,77;49
1996;114;Guatemala;61;60;849;32;13,92;63
1996;115;Benin;59;58;627;85;10,63;59
1996;116;New Caledonia;59;59;1817;215;30,8;66
1996;117;Madagascar;58;58;763;124;13,16;68
1996;118;Libyan Arab Jamahiriya;57;57;420;32;7,37;45
1996;119;Tajikistan;55;55;80;14;1,45;28
1996;120;Congo;49;49;855;32;17,45;63
1996;121;Mali;46;46;427;47;9,28;68
1996;122;Gabon;45;45;1015;126;22,56;73
1996;123;Niger;45;44;711;66;15,8;54
1996;124;Barbados;44;40;1240;58;28,18;60
1996;125;Brunei Darussalam;44;43;787;63;17,89;49
1996;126;Mongolia;44;44;1621;144;36,84;65
1996;127;Malta;42;42;966;17;23;75
1996;128;Namibia;41;41;1093;80;26,66;67
1996;129;French Polynesia;40;39;1183;126;29,58;54
1996;130;Kyrgyzstan;38;38;471;40;12,39;40
1996;131;Monaco;38;37;1373;199;36,13;69
1996;132;Nicaragua;36;35;758;54;21,06;56
1996;133;Dominican Republic;35;35;554;40;15,83;47
1996;134;Yemen;34;34;347;46;10,21;46
1996;135;Guam;33;33;771;26;23,36;52
1996;136;Fiji;29;28;344;20;11,86;52
1996;137;Martinique;29;28;296;13;10,21;36
1996;138;Paraguay;28;28;606;35;21,64;54
1996;139;Serbia;27;27;356;28;13,19;100
1996;140;Togo;27;26;213;30;7,89;37
1996;141;Bosnia and Herzegovina;26;23;349;67;13,42;55
1996;142;Burundi;25;25;428;13;17,12;28
1996;143;Honduras;25;25;364;22;14,56;48
1996;144;Mozambique;23;22;372;31;16,17;66
1996;145;Bermuda;22;20;1337;193;60,77;69
1996;146;Mauritius;22;22;334;28;15,18;50
1996;147;Palestine ;22;22;201;28;9,14;53
1996;148;Rwanda;22;22;453;19;20,59;48
1996;149;French Guiana;20;20;470;15;23,5;51
1996;150;Democratic Republic Congo;19;19;300;7;15,79;38
1996;151;Liechtenstein;19;19;182;26;9,58;50
1996;152;North Korea;19;19;74;0;3,89;75
1996;153;Sierra Leone;19;18;288;9;15,16;26
1996;154;El Salvador;18;17;158;9;8,78;40
1996;155;Central African Republic;16;15;223;12;13,94;39
1996;156;Reunion;15;15;211;9;14,07;34
1996;157;Swaziland;15;15;91;8;6,07;41
1996;158;Guinea;14;14;328;13;23,43;41
1996;159;Myanmar;14;13;269;5;19,21;46
1996;160;Turkmenistan;14;14;153;4;10,93;19
1996;161;Solomon Islands;13;12;210;17;16,15;31
1996;162;Lesotho;12;11;79;3;6,58;26
1996;163;Laos;11;11;119;40;10,82;54
1996;164;Virgin Islands (U.S.);11;11;236;6;21,45;27
1996;165;Belize;10;10;240;19;24;32
1996;166;Guinea-Bissau;10;10;688;38;68,8;47
1996;167;Greenland;10;10;469;21;46,9;45
1996;168;Guyana;9;8;166;8;18,44;30
1996;169;Faroe Islands;8;8;756;15;94,5;45
1996;170;Grenada;8;8;75;4;9,38;29
1996;171;Cambodia;8;8;110;2;13,75;65
1996;172;Maldives;8;8;97;1;12,13;20
1996;173;Mauritania;8;8;64;4;8;30
1996;174;Netherlands Antilles;7;7;233;22;33,29;42
1996;175;Djibouti;6;6;52;0;8,67;16
1996;176;Haïti;6;6;144;9;24;43
1996;177;Angola;5;5;30;1;6;31
1996;178;Bahamas;5;5;163;15;32,6;32
1996;179;Eritrea;5;5;91;2;18,2;32
1996;180;Federated States of Micronesia;5;4;191;5;38,2;22
1996;181;Saint Lucia;5;5;151;3;30,2;16
1996;182;San Marino;5;4;26;0;5,2;21
1996;183;Suriname;5;5;49;15;9,8;27
1996;184;American Samoa;4;4;121;4;30,25;20
