"";"AGE";"SEXE";"REGION";"STAT_MARI";"SAL_HOR";"SYNDICAT";"CATEGORIE";"NIV_ETUDES";"NB_PERS";"NB_ENF";"REV_FOYER"
"258";49;"M";"W";"D";20;"non";"Gestion et Vente";"BAC+3";NA;0;"60 - < 100"
"259";52;"M";"W";"M";15,3;"oui";"Employe";"BAC+3";6;1;"60 - < 100"
"260";57;"F";"W";"M";10,72;NA;"Transports et Service";"BAC";3;0;"< 40"
"261";53;"M";NA;"M";NA;NA;NA;"BAC+3";6;3;NA
"262";56;"F";NA;NA;NA;NA;"Transports et Service";"BAC+3";2;1;NA
"263";51;"M";"NW";"M";NA;"oui";"Construction et Maintenance";"BAC";4;0;">= 100"
"264";56;"F";"NW";"M";NA;NA;"Gestion et Vente";"BAC+5";2;0;"60 - < 100"
"265";52;"M";"NW";"M";NA;"non";"Production et Agriculture";"BAC+2";2;0;"60 - < 100"
"266";26;"F";"S";"C";10;NA;"Transports et Service";"BAC+3";2;0;"< 40"
"267";51;"M";"S";"M";29;NA;"Production et Agriculture";"BAC";3;1;"60 - < 100"
"268";43;"F";"S";"M";23;"non";"Transports et Service";"BAC+2";4;1;"40 - < 60"
"269";20;"F";NA;NA;NA;NA;NA;NA;NA;NA;NA
"270";21;"M";"W";"C";NA;NA;"Transports et Service";"BAC";3;NA;"< 40"
"271";47;"M";"S";"M";13;NA;"Transports et Service";"BAC+3";3;1;"60 - < 100"
"272";56;"M";"W";"M";12,5;"non";"Production et Agriculture";"BAC";3;0;"40 - < 60"
"273";44;"M";"NE";"M";30;NA;"Construction et Maintenance";"BAC";4;2;"60 - < 100"
"274";31;"M";"S";"C";18;NA;"Gestion et Vente";"BAC+3";2;0;">= 100"
"275";39;"F";"NE";"M";8,25;NA;"Profession liberale";"BAC";4;2;"60 - < 100"
"276";54;"F";"W";"D";NA;"non";"Employe";"BAC";2;0;">= 100"
"277";22;"F";"NW";"C";21;NA;"Gestion et Vente";"BAC+3";2;0;"60 - < 100"
"278";41;"M";"NW";"M";NA;NA;"Production et Agriculture";"BAC";4;2;"60 - < 100"
"279";49;"M";"NW";"M";25;"non";"Construction et Maintenance";"BAC";5;2;"60 - < 100"
"280";58;"F";"W";"V";NA;NA;"Transports et Service";"BAC";1;0;"60 - < 100"
"281";38;"F";"W";"D";NA;NA;"Transports et Service";"BAC";4;2;"< 40"
"282";45;"F";"NW";"M";8,75;NA;NA;"Sans diplome";5;3;"< 40"
"283";43;"M";"W";"M";18,5;NA;"Construction et Maintenance";"BAC";6;3;"40 - < 60"
"284";28;"F";"NW";"D";10;NA;"Gestion et Vente";"BAC";4;2;"40 - < 60"
"285";46;"F";"NW";"M";15,99;"non";"Employe";"BAC+2";2;0;"< 40"
"286";58;"F";"NW";"M";NA;NA;"Gestion et Vente";"BAC+3";4;0;"60 - < 100"
"287";44;"F";NA;NA;NA;NA;NA;NA;NA;NA;NA
"288";53;"F";"W";"M";NA;"non";"Production et Agriculture";"BAC";3;0;"40 - < 60"
"289";35;"M";"NE";"M";15;"non";"Construction et Maintenance";"BAC";4;2;"< 40"
"290";25;"F";"W";"C";8,5;NA;"Profession liberale";"BAC";8;0;"60 - < 100"
"291";24;"F";"NW";"C";7,5;NA;"Transports et Service";"BAC";2;0;"< 40"
"292";44;"M";"W";"C";10;NA;"Production et Agriculture";"Sans diplome";4;2;"< 40"
"293";53;"F";"NW";"M";41,2;"oui";"Gestion et Vente";"BAC+2";2;0;"60 - < 100"
"294";38;"M";"S";"M";13,25;NA;"Gestion et Vente";"BAC";2;0;">= 100"
"295";63;"M";"S";"M";45,5;"non";"Construction et Maintenance";"BAC+3";5;1;">= 100"
"296";53;"M";"NE";"M";15;NA;"Production et Agriculture";NA;NA;0;NA
"297";20;"M";"W";"C";16;NA;"Transports et Service";"BAC";4;0;"< 40"
"298";32;"F";"S";"S";12,4;NA;"Employe";"BAC";2;0;"40 - < 60"
